schema_version,run_id,timestamp_unix,benchmark,area,dataset_name,dataset_bytes,dataset_sha256,input_size,language,language_version,library,library_version,flags,warmup,trials,min_ns,median_ns,mean_ns,p95_ns,throughput,throughput_unit,peak_rss_kb,cgroup_peak_kb,alloc_bytes,alloc_count,working_set_kb,status,check_ok,notes,variant
1,20260625-161331,,example,scaffold,,-1,,-1,cajeta,,,,--release -O3 -march=native,20,200,280,350,389,581,,,3080,-1,0,-1,152,ok,true,,
1,20260625-161331,,sum,selftest,,-1,,-1,cajeta,,,,--release -O3 -march=native,5,50,6682,6733,6740,6813,,,3080,-1,0,-1,0,ok,true,,
1,20260625-161331,,variant-demo,selftest,,-1,,-1,cajeta,,,,--release -O3 -march=native,3,20,30,30,35,80,,,3080,-1,0,-1,0,ok,true,,small
1,20260625-161331,,variant-demo,selftest,,-1,,-1,cajeta,,,,--release -O3 -march=native,3,20,30,30,33,41,,,3084,-1,0,-1,0,ok,true,,large
1,20260625-161331,,json-tokenize,codec,,-1,,631514,cajeta,,,,--release -O3 -march=native,10,50,603629,612998,628306,687637,,,4096,-1,633586,-1,404,ok,true,,twitter
1,20260625-161331,,json-tokenize,codec,,-1,,1727204,cajeta,,,,--release -O3 -march=native,10,50,1508789,1517256,1520079,1544256,,,6892,-1,1729276,-1,2116,ok,true,,citm_catalog
1,20260625-161331,,json-tokenize,codec,,-1,,2251051,cajeta,,,,--release -O3 -march=native,10,50,2482287,2496674,2499384,2520289,,,9000,-1,2253123,-1,3708,ok,true,,canada
1,20260625-161331,,json-bind-skip,codec,,-1,,631514,cajeta,,,,--release -O3 -march=native,10,50,172658,173860,174657,178669,,,9000,-1,3157650,-1,2812,ok,true,,twitter
1,20260625-161331,,json-bind-skip,codec,,-1,,1727204,cajeta,,,,--release -O3 -march=native,10,50,450832,454559,454782,458566,,,11552,-1,8636100,-1,0,ok,true,,citm_catalog
1,20260625-161331,,json-bind-skip,codec,,-1,,2251051,cajeta,,,,--release -O3 -march=native,10,50,800342,805332,807335,826281,,,14116,-1,11255335,-1,0,ok,true,,canada
1,20260625-161331,,json-dom,codec,,-1,,631514,cajeta,,,,--release -O3 -march=native,5,30,2330143,2662109,2591259,2847018,,,209028,-1,5018707,-1,174212,ok,true,,twitter
1,20260625-161331,,json-dom,codec,,-1,,1727204,cajeta,,,,--release -O3 -march=native,5,30,6531700,6828690,6885984,7153692,,,907564,-1,16991233,-1,584184,ok,true,,citm_catalog
1,20260625-161331,,json-dom,codec,,-1,,2251051,cajeta,,,,--release -O3 -march=native,5,30,16731039,17276026,17251998,17461215,,,2885368,-1,46318509,-1,1668716,ok,true,,canada
1,20260625-161331,,json-serialize,codec,,-1,,631514,cajeta,,,,--release -O3 -march=native,5,30,1057035,1137286,1182493,1467619,,,3237864,-1,6538250,-1,237388,ok,true,,twitter
1,20260625-161331,,json-serialize,codec,,-1,,1727204,cajeta,,,,--release -O3 -march=native,5,30,2507351,2985271,3196127,4319486,,,4119700,-1,18542232,-1,693212,ok,true,,citm_catalog
1,20260625-161331,,json-serialize,codec,,-1,,2251051,cajeta,,,,--release -O3 -march=native,5,30,9715270,10960878,11021063,13015038,,,6419112,-1,51809116,-1,1806168,ok,true,,canada
1,20260625-161331,,json-roundtrip,codec,,-1,,631514,cajeta,,,,--release -O3 -march=native,5,30,6015225,6191066,6198250,6405540,,,6960304,-1,10927373,-1,411732,ok,true,,twitter
1,20260625-161331,,json-roundtrip,codec,,-1,,1727204,cajeta,,,,--release -O3 -march=native,5,30,15147102,15950726,16233834,17817664,,,8466088,-1,33806257,-1,1277448,ok,true,,citm_catalog
1,20260625-161331,,json-roundtrip,codec,,-1,,2251051,cajeta,,,,--release -O3 -march=native,5,30,42472001,44750925,44464230,45733696,,,12487964,-1,95876566,-1,3408924,ok,true,,canada
